,tot_med,tot_lo,tot_hi,type,age_group
df_yld_acute4,1708.433112,677.5887875,4003.101523,yld_acute,"[40,50)"
df_yld_subac4,14729.38249,5226.880498,39815.07565,yld_subac,"[40,50)"
df_yld_chronic4,145227.2821,50850.52727,282364.5256,yld_chronic,"[40,50)"
df_yll4,51674.46551,34799.88734,75356.71413,yll,"[40,50)"
df_daly4,215896.688,117906.6982,359828.1187,daly,"[40,50)"
symp5,1035141.177,803927.7465,1262782.747,symptomatic,"[50,60)"
asymp5,939324.8111,711683.2414,1170538.242,asymptomatic,"[50,60)"
df_hosp5,40617.20605,29044.65105,57237.50812,hospitalisation,"[50,60)"
df_hosp_acute5,13926.19503,9759.684034,19779.90438,hospitalisation_acute,"[50,60)"
df_hosp_chronic_6m5,8794.711683,6303.572021,12418.69996,hospitalisation_chronic6m,"[50,60)"
df_hosp_chronic_12m5,5343.206041,3689.20402,7818.995403,hospitalisation_chronic12m,"[50,60)"
df_hosp_chronic_30m5,1183.233251,633.4205805,2073.884133,hospitalisation_chronic30m,"[50,60)"
df_hosp_subac5,11322.71485,8067.258119,15833.28856,hospitalisation_subacute,"[50,60)"
df_hosp_fatal5,1302.731069,922.4106834,1818.467655,fatal,"[50,60)"
df_nonhosp5,992528.5776,774251.3954,1210446.268,nonhospitalisation,"[50,60)"
df_nonhosp_acute5,338634.1564,263183.5463,423803.9072,nonhosp_acute,"[50,60)"
df_nonhosp_chronic_6m5,215740.9842,167516.628,263641.1398,nonhosp_chronic_6m,"[50,60)"
df_nonhosp_chronic_12m5,130961.2528,98162.73071,165285.7704,nonhosp_chronic_12m,"[50,60)"
df_nonhosp_chronic_30m5,28795.93859,16125.76993,47562.64625,nonhosp_chronic_30m,"[50,60)"
df_nonhosp_subac5,276867.5005,213757.7712,337515.3287,nonhosp_subac,"[50,60)"
df_yld_hosp_chronic5,3719.156177,1299.621138,7833.589847,yld_hosp_chronic,"[50,60)"
df_yld_hosp_acute5,43.93809918,16.92811606,109.4797294,yld_hosp_acute,"[50,60)"
df_yld_hosp_subac5,379.1021894,129.9761809,1049.988861,yld_hosp_subac,"[50,60)"
df_yld_nh_chronic5,90930.81004,31652.51438,176130.0526,yld_nh_chronic,"[50,60)"
df_yld_nh_acute5,1071.185625,424.2557411,2505.258728,yld_nh_acute,"[50,60)"
df_yld_nh_subac5,9203.115879,3276.563792,24892.15179,yld_nh_subac,"[50,60)"
df_yld_acute5,1113.513309,441.6352358,2609.119942,yld_acute,"[50,60)"
df_yld_subac5,9600.237464,3406.747936,25950.45509,yld_subac,"[50,60)"
df_yld_chronic5,94655.45611,33143.08506,184038.0377,yld_chronic,"[50,60)"
df_yll5,32852.95516,22009.09265,48440.66624,yll,"[50,60)"
df_daly5,139936.3204,73469.49784,236930.6151,daly,"[50,60)"
symp6,582412.9925,452322.8108,710493.4961,symptomatic,"[60,70)"
asymp6,528502.7466,400422.243,658592.9283,asymptomatic,"[60,70)"
df_hosp6,22852.91079,16341.71457,32204.17569,hospitalisation,"[60,70)"
df_hosp_acute6,7835.450051,5491.199691,11128.98771,hospitalisation_acute,"[60,70)"
df_hosp_chronic_6m6,4948.266539,3546.64873,6987.27126,hospitalisation_chronic6m,"[60,70)"
df_hosp_chronic_12m6,3006.3075,2075.69784,4399.288139,hospitalisation_chronic12m,"[60,70)"
df_hosp_chronic_30m6,665.7356752,356.3884611,1166.852521,hospitalisation_chronic30m,"[60,70)"
df_hosp_subac6,6370.625056,4538.971119,8908.45931,hospitalisation_subacute,"[60,70)"
df_hosp_fatal6,1246.444117,876.22956,1726.536111,fatal,"[60,70)"
df_nonhosp6,558437.3926,435625.6712,681046.8416,nonhospitalisation,"[60,70)"
df_nonhosp_acute6,190529.5044,148077.8866,238449.5053,nonhosp_acute,"[60,70)"
df_nonhosp_chronic_6m6,121384.7489,94251.74347,148335.3453,nonhosp_chronic_6m,"[60,70)"
df_nonhosp_chronic_12m6,73684.18568,55230.38895,92996.56953,nonhosp_chronic_12m,"[60,70)"
df_nonhosp_chronic_30m6,16201.77908,9073.021083,26760.69941,nonhosp_chronic_30m,"[60,70)"
df_nonhosp_subac6,155777.0408,120268.9131,189900.0035,nonhosp_subac,"[60,70)"
df_yld_hosp_chronic6,2092.550227,731.2202871,4407.499863,yld_hosp_chronic,"[60,70)"
df_yld_hosp_acute6,24.72138063,9.524454746,61.59779848,yld_hosp_acute,"[60,70)"
df_yld_hosp_subac6,213.2984785,73.12994616,590.7669034,yld_hosp_subac,"[60,70)"
df_yld_nh_chronic6,51161.41207,17809.00698,99098.01291,yld_nh_chronic,"[60,70)"
df_yld_nh_acute6,602.6930587,238.7037542,1409.561524,yld_nh_acute,"[60,70)"
df_yld_nh_subac6,5178.051254,1843.529448,14005.34769,yld_nh_subac,"[60,70)"
df_yld_acute6,626.5083516,248.4821721,1467.998135,yld_acute,"[60,70)"
df_yld_subac6,5401.488197,1916.776397,14600.79261,yld_subac,"[60,70)"
df_yld_chronic6,53257.05106,18647.66331,103547.3698,yld_chronic,"[60,70)"
df_yll6,22043.31032,14549.19763,31839.59621,yll,"[60,70)"
df_daly6,82068.17535,45781.4075,135258.7808,daly,"[60,70)"
symp7,244670.9371,190020.2224,298477.388,symptomatic,"[70,80)"
asymp7,222023.3078,168216.8569,276674.0225,asymptomatic,"[70,80)"
df_hosp7,9600.478094,6865.132802,13528.93211,hospitalisation,"[70,80)"
df_hosp_acute7,3291.662348,2306.845851,4675.273231,hospitalisation_acute,"[70,80)"
df_hosp_chronic_6m7,2078.760336,1489.942467,2935.343524,hospitalisation_chronic6m,"[70,80)"
df_hosp_chronic_12m7,1262.945871,871.9979363,1848.135139,hospitalisation_chronic12m,"[70,80)"
df_hosp_chronic_30m7,279.6746849,149.7183255,490.1932273,hospitalisation_chronic30m,"[70,80)"
df_hosp_subac7,2676.291285,1906.815826,3742.432141,hospitalisation_subacute,"[70,80)"
df_hosp_fatal7,1264.19734,901.4204708,1748.877853,fatal,"[70,80)"
df_nonhosp7,234598.8192,183005.7746,286106.8871,nonhospitalisation,"[70,80)"
df_nonhosp_acute7,80041.19674,62207.32699,100172.3255,nonhosp_acute,"[70,80)"
df_nonhosp_chronic_6m7,50993.57427,39595.0343,62315.48439,nonhosp_chronic_6m,"[70,80)"
